0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26

º«¼Ò»´,ÁÖ»³Åô,5M+14F,20180517,,,C57BL/6J,,,,RIP3,(+/-),,,,,,,,,C,106,2,,,F1,F1
º«¼Ò»´,ÁÖ»³Åô,40F IVF,20180703,,,C57BL/6J,,,,RIP3,(-/-),,,,,,,,,C,106,1,,,P1,P1

º«¼Ò»´,Âí»ª±ò,,,,F,Balb/C,,,,p38¦Ä ,(+/-),,,,,,,,,C,106,1,3,1,,
º«¼Ò»´,ºÎÅô,,20180610,20180631,,C57BL/6J,,,,CD14,(+/-),,,,,,,,,C,106,1,3,1,,

º«¼Ò»´,Âí»ª±ò,,,,F,Balb/C,,,,p38¦Ä ,(+/-),,,,,,,,,C,106,1,3,2,,
º«¼Ò»´,ºÎÅô,,20180610,20180631,,C57BL/6J,,,,CD14,(+/-),,,,,,,,,C,106,1,3,2,,

º«¼Ò»´,ÁÖ»³Åô,08438,20180319,20180517,M,C57BL/6J,,,,Abcf3,(+/-),,,,,,,,,C,104,1,6,6,P1,P1
º«¼Ò»´,ÁÖ»³Åô,05754,20180319,20180517,F,C57BL/6J,,,,Abcf3,(-/-),,,,,,,,,C,104,1,6,7,P1,P1
º«¼Ò»´,ÁÖ»³Åô,09685,20180319,20180517,M,C57BL/6J,,,,Abcf2,(+/-),,,,,,,,,C,104,1,6,8,P1,P1

º«¼Ò»´,ÑîµÀÎ°,441,,,M,C57BL/6J,,,,,,,,,,,,,,C,104,1,6,6,,
º«¼Ò»´,ÑîµÀÎ°,777,,,M,C57BL/6J,,,,NLRP3 D301N,(+/-),,,,,,,,,C,104,1,6,6,,
º«¼Ò»´,ÑîµÀÎ°,477,,,F,C57BL/6J,,,,NLRP3 D301N,(+/-),,,,,,,,,C,104,1,6,6,,
º«¼Ò»´,ÑîµÀÎ°,479,,,F,C57BL/6J,,,,,,,,,,,,,,C,104,1,6,7,,
